指数,代码,持有期,起点,终点,XIRR,总投入,终值,交易
沪深300,000300,3yr,2020-07-08,2023-07-08,-5.65,70500,67271,80
沪深300,000300,3yr,2011-07-08,2014-07-08,-6.09,184000,167480,156
沪深300,000300,3yr,2021-04-08,2024-04-08,-6.35,115000,107062,118
沪深300,000300,3yr,2011-01-08,2014-01-08,-7.04,159250,143543,153
沪深300,000300,3yr,2011-04-08,2014-04-08,-7.41,173750,155135,154
沪深300,000300,3yr,2020-10-08,2023-10-08,-7.68,82500,76809,92
沪深300,000300,3yr,2021-07-08,2024-07-08,-7.94,118500,106435,131
沪深300,000300,3yr,2009-04-08,2012-04-08,-10.51,88250,80108,132
沪深300,000300,3yr,2010-07-08,2013-07-08,-11.09,144750,124480,153
沪深300,000300,3yr,2009-07-08,2012-07-08,-11.77,103750,92476,139
沪深300,000300,3yr,2009-10-08,2012-10-08,-14.0,121500,104989,145
沪深300,000300,3yr,2021-01-08,2024-01-08,-15.05,102000,87371,106
沪深300,000300,3yr,2009-01-08,2012-01-08,-17.26,80500,67096,132
沪深300,000300,3yr,2016-01-08,2019-01-08,-23.59,18250,17497,28
沪深300,000300,5yr,2014-07-08,2019-07-08,87.88,29250,17251,80
沪深300,000300,5yr,2014-04-08,2019-04-08,83.43,46750,36414,87
沪深300,000300,5yr,2014-10-08,2019-10-08,82.97,20500,13745,78
沪深300,000300,5yr,2014-01-08,2019-01-08,74.9,63750,51850,95
沪深300,000300,5yr,2013-10-08,2018-10-08,67.84,74750,64560,95
沪深300,000300,5yr,2013-07-08,2018-07-08,61.62,92500,80034,105
沪深300,000300,5yr,2013-04-08,2018-04-08,56.41,109500,92177,118
沪深300,000300,5yr,2013-01-08,2018-01-08,54.52,117000,96657,128
沪深300,000300,5yr,2012-10-08,2017-10-08,50.41,136000,112290,139
沪深300,000300,5yr,2012-07-08,2017-07-08,47.05,154000,126271,149
沪深300,000300,5yr,2016-07-08,2021-07-08,44.06,29500,9914,78
沪深300,000300,5yr,2012-04-08,2017-04-08,43.44,172500,137274,159
沪深300,000300,5yr,2012-01-08,2017-01-08,40.37,190500,148064,168
沪深300,000300,5yr,2016-10-08,2021-10-08,39.85,30750,9827,83
沪深300,000300,5yr,2011-10-08,2016-10-08,36.21,210000,158330,177
沪深300,000300,5yr,2016-04-08,2021-04-08,35.9,29500,9775,74
沪深300,000300,5yr,2015-07-08,2020-07-08,34.9,30750,30729,92
沪深300,000300,5yr,2017-01-08,2022-01-08,34.6,32750,9752,90
沪深300,000300,5yr,2016-01-08,2021-01-08,32.57,30750,14822,96
沪深300,000300,5yr,2011-07-08,2016-07-08,32.23,227000,164400,188
沪深300,000300,5yr,2011-01-08,2016-01-08,31.47,243000,173158,208
沪深300,000300,5yr,2011-04-08,2016-04-08,30.82,240750,168592,201
沪深300,000300,5yr,2010-10-08,2015-10-08,30.38,243250,169385,208
沪深300,000300,5yr,2010-07-08,2015-07-08,29.5,243250,175981,207
沪深300,000300,5yr,2015-10-08,2020-10-08,28.29,30750,19309,94
沪深300,000300,5yr,2017-07-08,2022-07-08,26.22,53000,27404,115
沪深300,000300,5yr,2015-01-08,2020-01-08,26.17,15000,16721,70
沪深300,000300,5yr,2010-04-08,2015-04-08,26.11,243250,341077,204
沪深300,000300,5yr,2017-04-08,2022-04-08,24.46,39000,11317,102
沪深300,000300,5yr,2010-01-08,2015-01-08,21.02,243250,363813,203
沪深300,000300,5yr,2018-01-08,2023-01-08,15.6,87000,58811,140
沪深300,000300,5yr,2018-04-08,2023-04-08,15.18,95000,68784,152
沪深300,000300,5yr,2017-10-08,2022-10-08,14.91,67500,37118,127
沪深300,000300,5yr,2019-10-08,2024-10-08,14.64,166000,177427,189
沪深300,000300,5yr,2021-07-08,2026-07-08,11.65,178250,40476,202
沪深300,000300,5yr,2015-04-08,2020-04-08,10.47,25250,25497,81
沪深300,000300,5yr,2020-10-08,2025-10-08,9.97,178250,175255,194
沪深300,000300,5yr,2021-01-08,2026-01-08,9.79,178250,73817,198
沪深300,000300,5yr,2021-04-08,2026-04-08,9.44,178250,38383,201
沪深300,000300,5yr,2018-07-08,2023-07-08,7.2,104750,73902,165
沪深300,000300,5yr,2020-07-08,2025-07-08,2.85,177500,186897,190
沪深300,000300,5yr,2018-10-08,2023-10-08,2.7,119000,86066,174
沪深300,000300,5yr,2020-01-08,2025-01-08,1.99,171000,157381,196
沪深300,000300,5yr,2009-10-08,2014-10-08,0.5,236500,238643,195
沪深300,000300,5yr,2020-04-08,2025-04-08,-2.05,173500,159716,199
沪深300,000300,5yr,2019-04-08,2024-04-08,-2.68,149500,120358,181
沪深300,000300,5yr,2019-07-08,2024-07-08,-5.35,155000,122552,188
沪深300,000300,5yr,2009-07-08,2014-07-08,-7.07,226000,201008,182
沪深300,000300,5yr,2009-01-08,2014-01-08,-7.77,188000,167991,156
沪深300,000300,5yr,2009-04-08,2014-04-08,-8.17,207000,182343,169
沪深300,000300,5yr,2019-01-08,2024-01-08,-9.34,135500,96685,175
沪深300,000300,10yr,2011-07-08,2021-07-08,20.94,26500,12516,105
沪深300,000300,10yr,2011-10-08,2021-10-08,20.49,26500,12426,105
沪深300,000300,10yr,2016-07-08,2026-07-08,20.34,159500,42570,274
沪深300,000300,10yr,2012-01-08,2022-01-08,20.14,26500,12423,105
沪深300,000300,10yr,2012-04-08,2022-04-08,18.87,27750,12102,110
沪深300,000300,10yr,2011-04-08,2021-04-08,18.22,26500,12422,101
沪深300,000300,10yr,2016-04-08,2026-04-08,17.34,162750,42498,284
沪深300,000300,10yr,2012-07-08,2022-07-08,16.92,31000,12690,121
沪深300,000300,10yr,2014-10-08,2024-10-08,15.95,117000,114485,235
沪深300,000300,10yr,2011-01-08,2021-01-08,14.95,26500,14580,99
沪深300,000300,10yr,2009-04-08,2019-04-08,14.27,21000,27028,74
沪深300,000300,10yr,2010-07-08,2020-07-08,13.94,26500,30228,95
沪深300,000300,10yr,2015-10-08,2025-10-08,13.84,165500,113335,285
沪深300,000300,10yr,2016-01-08,2026-01-08,13.58,166500,48370,293
沪深300,000300,10yr,2010-10-08,2020-10-08,13.01,26500,18994,97
沪深300,000300,10yr,2012-10-08,2022-10-08,12.57,35750,11390,133
沪深300,000300,10yr,2013-04-08,2023-04-08,12.55,50000,26916,158
沪深300,000300,10yr,2013-01-08,2023-01-08,12.53,46750,22900,146
沪深300,000300,10yr,2013-07-08,2023-07-08,10.79,54750,29813,171
沪深300,000300,10yr,2010-01-08,2020-01-08,10.67,22000,28433,78
沪深300,000300,10yr,2009-07-08,2019-07-08,9.8,21250,25837,75
沪深300,000300,10yr,2013-10-08,2023-10-08,9.49,62000,35904,183
沪深300,000300,10yr,2015-07-08,2025-07-08,8.82,163000,149176,275
沪深300,000300,10yr,2015-01-08,2025-01-08,8.44,130500,110300,249
沪深300,000300,10yr,2009-10-08,2019-10-08,8.09,21750,25980,77
沪深300,000300,10yr,2014-04-08,2024-04-08,7.67,91500,64839,209
沪深300,000300,10yr,2010-04-08,2020-04-08,6.16,24750,28689,87
沪深300,000300,10yr,2014-01-08,2024-01-08,5.49,77500,46956,197
沪深300,000300,10yr,2014-07-08,2024-07-08,5.19,101500,72107,222
沪深300,000300,10yr,2015-04-08,2025-04-08,4.81,146500,119880,262
沪深300,000300,10yr,2009-01-08,2019-01-08,-2.55,19500,18686,69
上证50,000016,3yr,2014-01-08,2017-01-08,99.21,60750,39453,64
上证50,000016,3yr,2013-10-08,2016-10-08,84.5,76250,47229,76
上证50,000016,3yr,2016-04-08,2019-04-08,82.71,15500,19094,35
上证50,000016,3yr,2013-07-08,2016-07-08,73.85,94250,57496,89
上证50,000016,3yr,2013-01-08,2016-01-08,68.01,109750,64404,107
上证50,000016,3yr,2013-04-08,2016-04-08,66.78,108250,63291,102
上证50,000016,3yr,2012-10-08,2015-10-08,58.04,125250,72134,119
上证50,000016,3yr,2012-07-08,2015-07-08,51.65,143250,85828,130
上证50,000016,3yr,2016-07-08,2019-07-08,40.31,17500,21001,43
上证50,000016,3yr,2015-04-08,2018-04-08,35.2,1250,293,22
上证50,000016,3yr,2015-01-08,2018-01-08,35.18,1250,295,20
上证50,000016,3yr,2012-04-08,2015-04-08,33.48,158750,107295,140
上证50,000016,3yr,2012-01-08,2015-01-08,33.4,171250,225057,149
上证50,000016,3yr,2018-07-08,2021-07-08,31.87,56000,13675,101
上证50,000016,3yr,2018-10-08,2021-10-08,31.32,53750,12571,92
上证50,000016,3yr,2019-01-08,2022-01-08,30.8,47250,9891,79
上证50,000016,3yr,2017-07-08,2020-07-08,29.58,56500,56388,93
上证50,000016,3yr,2019-04-08,2022-04-08,26.91,42500,7231,73
上证50,000016,3yr,2018-04-08,2021-04-08,26.69,56500,13991,100
上证50,000016,3yr,2018-01-08,2021-01-08,25.39,56500,26087,97
上证50,000016,3yr,2017-01-08,2020-01-08,23.3,30750,35672,70
上证50,000016,3yr,2016-10-08,2019-10-08,22.64,24000,27192,56
上证50,000016,3yr,2019-07-08,2022-07-08,22.42,48250,12658,77
上证50,000016,3yr,2020-01-08,2023-01-08,21.82,60250,36783,75
上证50,000016,3yr,2015-10-08,2018-10-08,21.6,4000,2887,33
上证50,000016,3yr,2017-10-08,2020-10-08,21.43,56500,34747,95
上证50,000016,3yr,2023-07-08,2026-07-08,21.42,49000,6054,76
上证50,000016,3yr,2015-07-08,2018-07-08,19.76,1750,512,24
上证50,000016,3yr,2019-10-08,2022-10-08,18.23,50750,19017,76
上证50,000016,3yr,2023-04-08,2026-04-08,16.77,55250,6157,87
上证50,000016,3yr,2023-01-08,2026-01-08,10.76,59250,7799,95
上证50,000016,3yr,2021-10-08,2024-10-08,10.34,89500,70890,120
上证50,000016,3yr,2020-04-08,2023-04-08,9.99,50000,39240,75
上证50,000016,3yr,2022-10-08,2025-10-08,7.38,75750,11178,107
上证50,000016,3yr,2022-07-08,2025-07-08,5.12,84500,11091,119
上证50,000016,3yr,2022-01-08,2025-01-08,3.41,90250,23128,127
上证50,000016,3yr,2022-04-08,2025-04-08,3.28,91250,12727,129
上证50,000016,3yr,2017-04-08,2020-04-08,3.19,46250,47219,82
上证50,000016,3yr,2010-01-08,2013-01-08,2.93,161250,167516,155
上证50,000016,3yr,2011-10-08,2014-10-08,0.24,181750,182397,154
上证50,000016,3yr,2014-04-08,2017-04-08,0.0,41250,25779,55
上证50,000016,3yr,2014-07-08,2017-07-08,0.0,22750,12941,45
上证50,000016,3yr,2014-10-08,2017-10-08,0.0,11250,5684,34
上证50,000016,3yr,2010-04-08,2013-04-08,-1.75,161250,157055,153
上证50,000016,3yr,2016-01-08,2019-01-08,-2.15,12000,10443,47
上证50,000016,3yr,2021-04-08,2024-04-08,-4.08,81000,77893,104
上证50,000016,3yr,2010-10-08,2013-10-08,-4.52,168250,157278,153
上证50,000016,3yr,2020-10-08,2023-10-08,-4.54,53000,51105,78
上证50,000016,3yr,2021-07-08,2024-07-08,-4.71,82250,77732,109
上证50,000016,3yr,2011-07-08,2014-07-08,-6.38,188250,171053,154
上证50,000016,3yr,2011-04-08,2014-04-08,-8.04,184000,162664,154
上证50,000016,3yr,2020-07-08,2023-07-08,-8.16,44500,41993,66
上证50,000016,3yr,2009-04-08,2012-04-08,-8.56,119750,109041,146
上证50,000016,3yr,2011-01-08,2014-01-08,-8.56,173750,152467,153
上证50,000016,3yr,2009-07-08,2012-07-08,-9.21,132750,119181,149
上证50,000016,3yr,2010-07-08,2013-07-08,-10.31,165750,141120,153
上证50,000016,3yr,2009-10-08,2012-10-08,-10.69,150250,131514,154
上证50,000016,3yr,2021-01-08,2024-01-08,-13.42,68000,60322,92
上证50,000016,3yr,2009-01-08,2012-01-08,-15.71,114500,96486,146
上证50,000016,5yr,2014-04-08,2019-04-08,65.56,61000,41766,103
上证50,000016,5yr,2014-07-08,2019-07-08,65.06,43000,23958,96
上证50,000016,5yr,2014-01-08,2019-01-08,62.26,78750,58053,110
上证50,000016,5yr,2013-10-08,2018-10-08,56.86,95500,73164,114
上证50,000016,5yr,2013-07-08,2018-07-08,52.73,115000,87930,127
上证50,000016,5yr,2014-10-08,2019-10-08,48.87,30250,11171,94
上证50,000016,5yr,2013-04-08,2018-04-08,48.76,132500,98701,140
上证50,000016,5yr,2013-01-08,2018-01-08,47.32,139250,101974,150
上证50,000016,5yr,2012-10-08,2017-10-08,43.58,157250,113748,161
上证50,000016,5yr,2012-07-08,2017-07-08,40.7,175250,125639,172
上证50,000016,5yr,2012-04-08,2017-04-08,37.28,192750,133957,183
上证50,000016,5yr,2016-07-08,2021-07-08,34.81,33500,7410,92
上证50,000016,5yr,2012-01-08,2017-01-08,32.93,209250,141800,192
上证50,000016,5yr,2016-10-08,2021-10-08,32.87,33250,7189,77
上证50,000016,5yr,2017-01-08,2022-01-08,30.15,34000,7200,80
上证50,000016,5yr,2010-07-08,2015-07-08,26.79,264750,186509,207
上证50,000016,5yr,2010-04-08,2015-04-08,25.72,264750,366615,204
上证50,000016,5yr,2011-10-08,2016-10-08,25.2,228750,144956,202
上证50,000016,5yr,2016-01-08,2021-01-08,24.9,40500,15243,111
上证50,000016,5yr,2015-07-08,2020-07-08,24.73,42250,33034,114
上证50,000016,5yr,2016-04-08,2021-04-08,24.59,36750,8042,101
上证50,000016,5yr,2010-01-08,2015-01-08,23.86,264750,417327,203
上证50,000016,5yr,2010-10-08,2015-10-08,23.71,266500,165230,214
上证50,000016,5yr,2011-07-08,2016-07-08,23.63,247750,152712,213
上证50,000016,5yr,2017-04-08,2022-04-08,23.49,36250,6791,88
上证50,000016,5yr,2011-01-08,2016-01-08,23.01,265750,164688,214
上证50,000016,5yr,2011-04-08,2016-04-08,22.55,260250,155814,214
上证50,000016,5yr,2017-07-08,2022-07-08,21.66,45250,15563,99
上证50,000016,5yr,2015-10-08,2020-10-08,21.5,40750,20310,110
上证50,000016,5yr,2015-01-08,2020-01-08,17.17,21500,14558,92
上证50,000016,5yr,2018-01-08,2023-01-08,16.09,73000,42777,124
上证50,000016,5yr,2019-10-08,2024-10-08,15.62,123000,96604,179
上证50,000016,5yr,2017-10-08,2022-10-08,14.83,55500,23378,111
上证50,000016,5yr,2018-04-08,2023-04-08,12.42,79000,48122,136
上证50,000016,5yr,2021-07-08,2026-07-08,12.09,122000,19111,185
上证50,000016,5yr,2021-04-08,2026-04-08,10.06,122000,18790,182
上证50,000016,5yr,2021-01-08,2026-01-08,8.55,122000,26489,179
上证50,000016,5yr,2020-10-08,2025-10-08,8.29,122000,61523,175
上证50,000016,5yr,2015-04-08,2020-04-08,8.09,34000,25443,104
上证50,000016,5yr,2020-01-08,2025-01-08,6.19,125750,88570,179
上证50,000016,5yr,2020-07-08,2025-07-08,5.67,122000,109976,172
上证50,000016,5yr,2018-10-08,2023-10-08,5.49,92750,59292,161
上证50,000016,5yr,2018-07-08,2023-07-08,5.4,84750,50561,149
上证50,000016,5yr,2020-04-08,2025-04-08,3.12,125000,95814,181
上证50,000016,5yr,2019-04-08,2024-04-08,0.52,115250,84844,171
上证50,000016,5yr,2019-07-08,2024-07-08,-1.17,117500,86892,178
上证50,000016,5yr,2009-10-08,2014-10-08,-1.84,254500,246128,195
上证50,000016,5yr,2019-01-08,2024-01-08,-4.81,104500,66982,166
上证50,000016,5yr,2009-07-08,2014-07-08,-7.26,239000,211288,182
上证50,000016,5yr,2009-04-08,2014-04-08,-8.6,219500,191432,169
上证50,000016,5yr,2009-01-08,2014-01-08,-9.16,200000,174496,156
上证50,000016,10yr,2012-01-08,2022-01-08,19.37,53750,22243,145
上证50,000016,10yr,2011-07-08,2021-07-08,19.1,53750,22434,142
上证50,000016,10yr,2011-10-08,2021-10-08,19.06,53750,22109,143
上证50,000016,10yr,2012-04-08,2022-04-08,18.93,54000,22042,146
上证50,000016,10yr,2012-07-08,2022-07-08,18.16,56000,22408,154
上证50,000016,10yr,2016-07-08,2026-07-08,17.54,122750,25084,290
上证50,000016,10yr,2012-10-08,2022-10-08,16.89,58750,21678,164
上证50,000016,10yr,2011-04-08,2021-04-08,16.79,53750,22738,139
上证50,000016,10yr,2016-04-08,2026-04-08,16.09,129750,28963,300
上证50,000016,10yr,2016-01-08,2026-01-08,15.23,138750,35825,310
上证50,000016,10yr,2009-04-08,2019-04-08,14.95,37000,49595,88
上证50,000016,10yr,2013-01-08,2023-01-08,14.41,66750,22621,177
上证50,000016,10yr,2010-07-08,2020-07-08,14.25,53750,61204,133
上证50,000016,10yr,2011-01-08,2021-01-08,14.11,53750,28316,137
上证50,000016,10yr,2014-10-08,2024-10-08,13.45,106500,54572,264
上证50,000016,10yr,2013-04-08,2023-04-08,13.09,69750,22361,189
上证50,000016,10yr,2009-07-08,2019-07-08,12.89,38750,50909,95
上证50,000016,10yr,2010-10-08,2020-10-08,12.46,53750,37715,135
上证50,000016,10yr,2010-01-08,2020-01-08,12.03,43000,57336,112
上证50,000016,10yr,2015-10-08,2025-10-08,11.77,138750,37161,306
上证50,000016,10yr,2013-07-08,2023-07-08,11.36,72750,21012,201
上证50,000016,10yr,2015-07-08,2025-07-08,11.13,138500,52896,303
上证50,000016,10yr,2013-10-08,2023-10-08,11.09,76250,24308,213
上证50,000016,10yr,2015-01-08,2025-01-08,11.09,114750,54898,276
上证50,000016,10yr,2009-10-08,2019-10-08,10.86,41500,52865,106
上证50,000016,10yr,2014-04-08,2024-04-08,10.37,94000,41688,239
上证50,000016,10yr,2015-04-08,2025-04-08,10.18,130000,68304,289
上证50,000016,10yr,2014-01-08,2024-01-08,9.82,85000,30280,227
上证50,000016,10yr,2014-07-08,2024-07-08,9.75,97250,44106,252
上证50,000016,10yr,2010-04-08,2020-04-08,6.74,50000,58432,123
上证50,000016,10yr,2009-01-08,2019-01-08,2.71,33250,35057,78
中证500,000905,3yr,2013-01-07,2016-01-07,54.15,10250,6914,41
中证500,000905,3yr,2012-10-07,2015-10-07,50.51,27250,20883,51
中证500,000905,3yr,2012-07-07,2015-07-07,45.37,41750,31849,61
中证500,000905,3yr,2013-04-07,2016-04-07,41.3,14000,8217,38
中证500,000905,3yr,2013-07-07,2016-07-07,40.66,15500,14046,41
中证500,000905,3yr,2023-07-07,2026-07-07,38.89,76250,15886,92
中证500,000905,3yr,2023-04-07,2026-04-07,34.09,78500,15153,98
中证500,000905,3yr,2023-01-07,2026-01-07,28.92,79250,15116,99
中证500,000905,3yr,2012-04-07,2015-04-07,26.9,55750,48757,70
中证500,000905,3yr,2018-10-07,2021-10-07,22.11,70500,45822,102
中证500,000905,3yr,2019-01-07,2022-01-07,21.59,59000,42000,103
中证500,000905,3yr,2018-07-07,2021-07-07,19.14,82750,47970,102
中证500,000905,3yr,2022-10-07,2025-10-07,18.25,87000,21519,108
中证500,000905,3yr,2012-01-07,2015-01-07,17.06,72750,44520,82
中证500,000905,3yr,2017-07-07,2020-07-07,16.27,109250,111596,129
中证500,000905,3yr,2013-10-07,2016-10-07,16.07,22250,23173,40
中证500,000905,3yr,2018-01-07,2021-01-07,15.73,107000,71961,122
中证500,000905,3yr,2018-04-07,2021-04-07,15.4,100000,52942,110
中证500,000905,3yr,2017-10-07,2020-10-07,15.2,108750,69779,129
中证500,000905,3yr,2011-10-07,2014-10-07,13.46,87250,63937,94
中证500,000905,3yr,2019-07-07,2022-07-07,12.29,71750,59276,103
中证500,000905,3yr,2019-04-07,2022-04-07,11.95,60250,42721,103
中证500,000905,3yr,2016-04-07,2019-04-07,10.33,104000,116358,118
中证500,000905,3yr,2014-04-07,2017-04-07,9.88,31250,33260,51
中证500,000905,3yr,2014-01-07,2017-01-07,9.69,31000,32213,50
中证500,000905,3yr,2010-10-07,2013-10-07,8.64,91250,101514,104
中证500,000905,3yr,2022-07-07,2025-07-07,8.3,101500,26108,120
中证500,000905,3yr,2017-01-07,2020-01-07,7.56,103000,112365,123
中证500,000905,3yr,2011-07-07,2014-07-07,7.38,90000,67136,101
中证500,000905,3yr,2011-04-07,2014-04-07,6.96,91250,102958,104
中证500,000905,3yr,2014-10-07,2017-10-07,6.57,34000,36342,62
中证500,000905,3yr,2011-01-07,2014-01-07,4.68,91250,97959,104
中证500,000905,3yr,2022-04-07,2025-04-07,4.61,116000,30718,127
中证500,000905,3yr,2015-01-07,2018-01-07,3.54,35750,37257,69
中证500,000905,3yr,2017-04-07,2020-04-07,2.97,109750,114159,134
中证500,000905,3yr,2020-04-07,2023-04-07,2.12,71250,70688,91
中证500,000905,3yr,2022-01-07,2025-01-07,1.55,120750,56152,130
中证500,000905,3yr,2014-07-07,2017-07-07,1.2,33500,33681,60
中证500,000905,3yr,2015-04-07,2018-04-07,-0.05,42750,42535,82
中证500,000905,3yr,2016-10-07,2019-10-07,-1.3,105250,103694,118
中证500,000905,3yr,2010-04-07,2013-04-07,-1.53,89250,87926,108
中证500,000905,3yr,2010-07-07,2013-07-07,-1.8,90750,88935,108
中证500,000905,3yr,2021-10-07,2024-10-07,-2.39,125500,121301,138
中证500,000905,3yr,2016-07-07,2019-07-07,-2.82,104750,101303,118
中证500,000905,3yr,2020-01-07,2023-01-07,-3.2,76750,68328,100
中证500,000905,3yr,2020-07-07,2023-07-07,-4.92,71000,66960,93
中证500,000905,3yr,2019-10-07,2022-10-07,-6.12,75250,60996,102
中证500,000905,3yr,2020-10-07,2023-10-07,-7.58,75000,67629,105
中证500,000905,3yr,2021-04-07,2024-04-07,-7.67,101000,90437,130
中证500,000905,3yr,2010-01-07,2013-01-07,-8.62,86500,80850,97
中证500,000905,3yr,2021-01-07,2024-01-07,-9.99,83000,71418,118
中证500,000905,3yr,2021-07-07,2024-07-07,-13.19,113500,92979,139
中证500,000905,3yr,2015-07-07,2018-07-07,-15.43,61250,50973,95
中证500,000905,3yr,2015-10-07,2018-10-07,-15.99,80250,67031,105
中证500,000905,3yr,2016-01-07,2019-01-07,-20.63,101250,80036,119
中证500,000905,5yr,2013-01-07,2018-01-07,58.89,15750,15325,74
中证500,000905,5yr,2012-10-07,2017-10-07,57.05,26750,34417,82
中证500,000905,5yr,2013-04-07,2018-04-07,55.85,18000,11302,75
中证500,000905,5yr,2012-07-07,2017-07-07,53.46,38250,49865,94
中证500,000905,5yr,2011-01-07,2016-01-07,51.87,58750,74935,101
中证500,000905,5yr,2012-04-07,2017-04-07,50.82,46750,59310,107
中证500,000905,5yr,2011-04-07,2016-04-07,50.53,60250,74613,109
中证500,000905,5yr,2010-10-07,2015-10-07,50.47,58750,72331,97
中证500,000905,5yr,2010-07-07,2015-07-07,50.38,58500,73431,95
中证500,000905,5yr,2011-07-07,2016-07-07,49.65,60250,74800,112
中证500,000905,5yr,2011-10-07,2016-10-07,48.71,60250,75141,114
中证500,000905,5yr,2012-01-07,2017-01-07,47.73,60250,75554,118
中证500,000905,5yr,2014-04-07,2019-04-07,40.59,81500,92528,105
中证500,000905,5yr,2013-07-07,2018-07-07,36.67,31750,22045,75
中证500,000905,5yr,2010-04-07,2015-04-07,35.76,58500,107029,91
中证500,000905,5yr,2010-01-07,2015-01-07,23.09,58500,94709,90
中证500,000905,5yr,2015-07-07,2020-07-07,18.96,136750,172061,157
中证500,000905,5yr,2016-01-07,2021-01-07,15.09,138250,177356,159
中证500,000905,5yr,2015-10-07,2020-10-07,14.69,137250,168778,155
中证500,000905,5yr,2016-10-07,2021-10-07,13.9,153500,208848,181
中证500,000905,5yr,2017-01-07,2022-01-07,13.58,163500,225033,189
中证500,000905,5yr,2016-07-07,2021-07-07,12.79,142500,187430,171
中证500,000905,5yr,2016-04-07,2021-04-07,11.83,139250,175491,162
中证500,000905,5yr,2021-07-07,2026-07-07,11.54,191000,29036,207
中证500,000905,5yr,2015-01-07,2020-01-07,9.53,120250,130077,133
中证500,000905,5yr,2021-04-07,2026-04-07,8.51,194000,26593,217
中证500,000905,5yr,2017-07-07,2022-07-07,7.04,195000,232074,214
中证500,000905,5yr,2017-04-07,2022-04-07,6.91,177000,209663,201
中证500,000905,5yr,2020-10-07,2025-10-07,6.69,197750,73561,227
中证500,000905,5yr,2021-01-07,2026-01-07,6.67,196750,36574,226
中证500,000905,5yr,2018-04-07,2023-04-07,5.77,214000,252077,229
中证500,000905,5yr,2015-04-07,2020-04-07,3.8,131500,135485,145
中证500,000905,5yr,2018-01-07,2023-01-07,3.59,217250,239216,233
中证500,000905,5yr,2018-07-07,2023-07-07,3.32,198500,218255,227
