指数,代码,持有期,起点,终点,XIRR,总投入,终值,交易
沪深300,000300,3yr,2016-04-08,2019-04-08,98.06,23250,29918,34
沪深300,000300,3yr,2014-01-08,2017-01-08,89.19,48500,31842,57
沪深300,000300,3yr,2013-10-08,2016-10-08,81.1,58750,37008,71
沪深300,000300,3yr,2013-07-08,2016-07-08,70.48,75250,46602,84
沪深300,000300,3yr,2013-04-08,2016-04-08,64.2,88250,52863,97
沪深300,000300,3yr,2013-01-08,2016-01-08,64.07,92000,54660,109
沪深300,000300,3yr,2012-10-08,2015-10-08,52.85,109500,64255,120
沪深300,000300,3yr,2012-07-08,2015-07-08,46.57,127500,76228,131
沪深300,000300,3yr,2018-07-08,2021-07-08,39.43,49750,19278,95
沪深300,000300,3yr,2018-10-08,2021-10-08,39.18,46750,17603,84
沪深300,000300,3yr,2016-07-08,2019-07-08,38.11,25000,30160,41
沪深300,000300,3yr,2019-01-08,2022-01-08,37.74,35250,10565,77
沪深300,000300,3yr,2018-04-08,2021-04-08,36.74,50250,19221,95
沪深300,000300,3yr,2017-07-08,2020-07-08,31.29,50250,54005,88
沪深300,000300,3yr,2012-04-08,2015-04-08,30.81,144500,114496,141
沪深300,000300,3yr,2019-07-08,2022-07-08,30.33,49750,28740,86
沪深300,000300,3yr,2018-01-08,2021-01-08,30.12,50250,26049,92
沪深300,000300,3yr,2012-01-08,2015-01-08,26.81,160500,200711,151
沪深300,000300,3yr,2017-01-08,2020-01-08,26.67,32750,40541,66
沪深300,000300,3yr,2019-04-08,2022-04-08,26.66,36500,11748,80
沪深300,000300,3yr,2017-10-08,2020-10-08,26.42,50250,33935,90
沪深300,000300,3yr,2016-10-08,2019-10-08,22.65,29000,33728,55
沪深300,000300,3yr,2023-07-08,2026-07-08,21.0,60750,7655,82
沪深300,000300,3yr,2023-04-08,2026-04-08,16.99,68500,7573,94
沪深300,000300,3yr,2023-01-08,2026-01-08,12.44,73750,7621,103
沪深300,000300,3yr,2017-04-08,2020-04-08,10.86,44000,48187,77
沪深300,000300,3yr,2020-01-08,2023-01-08,10.77,75000,58277,86
沪深300,000300,3yr,2021-10-08,2024-10-08,9.34,128750,121987,142
沪深300,000300,3yr,2019-10-08,2022-10-08,9.07,60500,37926,85
沪深300,000300,3yr,2022-10-08,2025-10-08,6.9,92250,9740,114
沪深300,000300,3yr,2020-04-08,2023-04-08,6.85,70500,64526,88
沪深300,000300,3yr,2022-07-08,2025-07-08,4.04,107000,9440,127
沪深300,000300,3yr,2011-10-08,2014-10-08,2.78,175750,183713,156
沪深300,000300,3yr,2022-04-08,2025-04-08,1.87,122250,20168,136
沪深300,000300,3yr,2022-01-08,2025-01-08,1.76,127500,42197,141
沪深300,000300,3yr,2014-04-08,2017-04-08,0.0,30000,19640,46
沪深300,000300,3yr,2014-07-08,2017-07-08,0.0,12000,7049,35
沪深300,000300,3yr,2014-10-08,2017-10-08,0.0,4500,2234,24
沪深300,000300,3yr,2015-01-08,2018-01-08,0.0,0,0,0
沪深300,000300,3yr,2015-04-08,2018-04-08,0.0,0,0,0
沪深300,000300,3yr,2015-07-08,2018-07-08,0.0,500,476,2
沪深300,000300,3yr,2015-10-08,2018-10-08,-1.07,4000,3994,15
沪深300,000300,3yr,2010-01-08,2013-01-08,-2.05,136000,132948,152
沪深300,000300,3yr,2010-10-08,2013-10-08,-3.14,151750,145476,153
沪深300,000300,3yr,2010-04-08,2013-04-08,-4.25,137250,129918,153
