window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.786,-0.1706,0.7518,1.3754,0.0,574500.0,122965.0,207,176,0.2,0.25,0.45,0.5,0.65,0.8,0.95,0.5,0.55,0.8,0.12,0.05
3,-0.7863,-0.1707,0.7499,1.3167,0.0,571500.0,122118.0,223,192,0.2,0.25,0.45,0.55,0.65,0.8,0.95,-0.5,0.5,0.7,0.1,0.05
3,-0.7863,-0.1707,0.7556,1.3663,0.0,560250.0,119736.0,207,176,0.2,0.25,0.4,0.5,0.7,0.8,0.95,1.0,0.55,0.75,0.12,0.05
3,-0.7863,-0.1707,0.7499,1.3167,0.0,571500.0,122118.0,223,192,0.2,0.25,0.45,0.55,0.7,0.8,0.95,-0.5,0.5,0.8,0.1,0.05
3,-0.7864,-0.1708,0.7536,1.3717,0.0,588000.0,125614.0,210,179,0.2,0.25,0.45,0.5,0.75,0.8,0.95,-0.5,0.6,0.75,0.1,0.05
5,-0.2398,-0.0327,0.4624,1.5384,0.0,531000.0,403651.0,279,268,0.1,0.15,0.3,0.65,0.7,0.85,0.95,0.5,0.5,0.7,0.06,0.04
5,-0.2426,-0.0331,0.4624,1.6142,0.0,537750.0,407277.0,256,245,0.1,0.2,0.3,0.55,0.65,0.85,0.95,-0.5,0.5,0.8,0.06,0.04
5,-0.2429,-0.0332,0.4643,1.5901,0.0,544500.0,412234.0,264,253,0.1,0.15,0.35,0.6,0.75,0.85,0.95,0.0,0.5,0.75,0.12,0.05
5,-0.2437,-0.0333,0.4624,1.5218,0.0,540750.0,408953.0,285,274,0.1,0.15,0.3,0.6,0.75,0.85,0.95,-0.5,0.55,0.8,0.06,0.04
5,-0.2438,-0.0333,0.4624,1.5842,0.0,621000.0,469572.0,279,268,0.15,0.25,0.3,0.65,0.75,0.85,0.95,-0.5,0.5,0.75,0.06,0.04
8,0.3799,0.0398,0.3274,1.883,0.1217,716250.0,988381.0,270,261,0.1,0.3,0.35,0.5,0.75,0.85,0.95,1.0,0.5,0.7,0.08,0.05
8,0.3799,0.0398,0.3274,1.883,0.1217,716250.0,988381.0,270,261,0.1,0.3,0.35,0.5,0.7,0.85,0.95,0.5,0.5,0.7,0.08,0.03
8,0.3793,0.0398,0.3248,1.8365,0.1225,726000.0,1001355.0,283,274,0.1,0.3,0.35,0.55,0.7,0.85,0.95,1.0,0.5,0.7,0.06,0.03
8,0.3793,0.0398,0.3248,1.8365,0.1225,726000.0,1001355.0,283,274,0.1,0.3,0.35,0.55,0.7,0.85,0.95,0.5,0.5,0.7,0.06,0.03
8,0.3793,0.0398,0.3248,1.8365,0.1225,726000.0,1001355.0,283,274,0.1,0.3,0.35,0.55,0.75,0.85,0.95,0.5,0.5,0.8,0.08,0.03
10,0.4454,0.0505,0.3236,1.756,0.1562,646500.0,934478.0,279,279,0.1,0.15,0.35,0.5,0.65,0.85,0.9,0.5,0.5,0.8,0.08,0.03
10,0.4447,0.0505,0.3219,1.761,0.1568,657000.0,949151.0,279,279,0.1,0.15,0.4,0.5,0.65,0.85,0.9,1.0,0.5,0.75,0.06,0.04
10,0.4444,0.0504,0.3195,1.7676,0.1579,671250.0,969587.0,279,279,0.1,0.15,0.45,0.5,0.65,0.85,0.9,-0.5,0.5,0.8,0.12,0.05
10,0.4444,0.0504,0.3195,1.7676,0.1579,671250.0,969587.0,279,279,0.1,0.15,0.45,0.5,0.65,0.85,0.95,0.0,0.5,0.75,0.12,0.03
10,0.4439,0.0501,0.3271,1.7271,0.1533,699750.0,1010383.0,297,297,0.1,0.25,0.3,0.55,0.65,0.85,0.9,1.0,0.5,0.8,0.08,0.05
