window_years,final_return,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.89,-0.2285,0.8852,1.4154,0,461250.0,50715.0,165,139,0.05,0.3,0.35,0.6,0.75,0.85,0.95,1.0,0.5,0.8,0.1,0.04
3,-0.8901,-0.2284,0.8849,1.0375,0,576000.0,63322.0,253,227,0.05,0.3,0.45,0.65,0.65,0.85,0.95,0.0,0.5,0.8,0.12,0.04
3,-0.8902,-0.2286,0.8854,1.4113,0,457500.0,50245.0,165,139,0.05,0.25,0.4,0.6,0.75,0.85,0.95,1.0,0.5,0.7,0.1,0.04
3,-0.8903,-0.2286,0.8856,1.0616,0,544500.0,59707.0,237,211,0.05,0.25,0.45,0.5,0.7,0.85,0.95,-0.5,0.5,0.75,0.08,0.04
3,-0.8903,-0.2286,0.8855,1.0295,0,555000.0,60890.0,253,227,0.05,0.25,0.45,0.65,0.65,0.85,0.95,0.0,0.5,0.75,0.1,0.04
5,-0.7904,-0.1678,0.825,1.1894,0,602250.0,126233.0,243,227,0.05,0.3,0.4,0.6,0.7,0.85,0.95,-0.5,0.5,0.75,0.08,0.05
5,-0.7904,-0.1677,0.825,0.8919,0,560250.0,117447.0,248,232,0.05,0.25,0.3,0.65,0.75,0.85,0.95,0.0,0.5,0.8,0.08,0.05
5,-0.7904,-0.1678,0.825,0.9041,0,567750.0,118991.0,243,227,0.05,0.25,0.35,0.6,0.65,0.85,0.95,-0.5,0.5,0.8,0.12,0.05
5,-0.7908,-0.1679,0.825,0.9621,0,654750.0,136997.0,248,232,0.1,0.3,0.45,0.65,0.75,0.85,0.95,-0.5,0.5,0.8,0.08,0.05
5,-0.7908,-0.168,0.825,0.7757,0,610500.0,127692.0,224,208,0.1,0.3,0.35,0.6,0.7,0.85,0.95,0.5,0.5,0.75,0.12,0.05
8,-0.602,-0.1026,0.7069,1.3131,0,618750.0,246281.0,248,233,0.05,0.3,0.4,0.6,0.75,0.85,0.95,0.0,0.5,0.8,0.1,0.03
8,-0.6021,-0.1026,0.7069,0.9723,0,513750.0,204414.0,236,221,0.05,0.15,0.35,0.5,0.7,0.85,0.95,0.0,0.5,0.75,0.12,0.03
8,-0.6023,-0.1027,0.7069,1.8253,0,577500.0,229690.0,178,163,0.1,0.3,0.4,0.55,0.7,0.85,0.95,1.0,0.5,0.75,0.12,0.03
8,-0.6023,-0.1027,0.7069,1.8253,0,577500.0,229690.0,178,163,0.1,0.3,0.4,0.6,0.65,0.85,0.95,1.0,0.5,0.75,0.06,0.03
8,-0.6024,-0.1027,0.7075,0.9481,0,555750.0,220945.0,252,237,0.05,0.2,0.35,0.65,0.75,0.85,0.95,-0.5,0.5,0.7,0.08,0.04
