window_years,final_return,xirr,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,0.0424,0.0665,0.0051,0.3587,2.0137,0.0143,508500.0,530048.0,225,202,0.1,0.15,0.4,0.7,0.75,0.85,0.95,0.5,0.55,0.75,0.1,0.05
3,0.0415,0.0653,0.005,0.3597,2.0958,0.014,562500.0,585864.0,217,194,0.15,0.2,0.4,0.5,0.75,0.85,0.95,0.5,0.6,0.7,0.12,0.05
3,0.0405,0.0663,0.0049,0.3585,2.0428,0.0137,492750.0,512707.0,217,194,0.1,0.15,0.35,0.5,0.75,0.85,0.95,0.5,0.65,0.8,0.1,0.04
3,0.0403,0.0661,0.0049,0.3578,2.0017,0.0136,478500.0,497767.0,223,200,0.05,0.15,0.4,0.7,0.65,0.85,0.95,0.5,0.5,0.75,0.08,0.04
3,0.0348,0.0643,0.0042,0.35,2.1281,0.0121,624000.0,645711.0,218,195,0.15,0.3,0.35,0.55,0.65,0.85,0.95,0.5,0.5,0.75,0.06,0.04
5,-0.2087,0.0772,-0.0285,0.3615,2.2076,0.0,432750.0,342456.0,152,134,0.15,0.2,0.4,0.5,0.75,0.85,0.95,1.0,0.65,0.7,0.1,0.05
5,-0.2092,0.0772,-0.0285,0.3615,2.1587,0.0,433500.0,342821.0,158,140,0.15,0.2,0.35,0.7,0.75,0.85,0.95,1.0,0.55,0.75,0.1,0.05
5,-0.235,0.0708,-0.0324,0.3541,1.8411,0.0,615000.0,470453.0,243,225,0.15,0.3,0.35,0.65,0.65,0.85,0.95,0.5,0.5,0.8,0.06,0.05
5,-0.237,0.071,-0.0327,0.3565,1.783,0.0,540750.0,412604.0,248,230,0.05,0.25,0.4,0.7,0.7,0.85,0.95,0.5,0.5,0.8,0.12,0.05
5,-0.2523,0.0666,-0.0344,0.3456,1.4502,0.0,567000.0,423963.0,292,274,0.05,0.2,0.45,0.7,0.65,0.85,0.95,0.0,0.65,0.75,0.08,0.05
8,0.122,0.0713,0.0144,0.3497,2.2081,0.0413,479250.0,537737.0,186,171,0.05,0.25,0.4,0.6,0.75,0.85,0.95,1.0,0.5,0.75,0.12,0.05
8,0.0931,0.067,0.0111,0.3466,2.0404,0.0321,671250.0,733749.0,249,234,0.2,0.25,0.35,0.7,0.75,0.85,0.95,0.5,0.55,0.7,0.1,0.05
8,0.0876,0.0659,0.0105,0.3438,2.0706,0.0305,700500.0,761861.0,242,227,0.2,0.3,0.35,0.6,0.65,0.85,0.95,0.5,0.6,0.7,0.12,0.05
8,0.0752,0.0642,0.0088,0.3536,1.9787,0.0249,700500.0,753200.0,274,259,0.2,0.25,0.3,0.6,0.75,0.85,0.95,-0.5,0.6,0.75,0.1,0.05
8,0.0718,0.0651,0.0085,0.361,1.5841,0.0235,571500.0,612552.0,268,253,0.1,0.15,0.45,0.65,0.7,0.85,0.95,0.0,0.55,0.75,0.06,0.05
