window_years,final_return,xirr,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.7862,0.043,-0.1707,0.7546,1.366,0.0,537000.0,114804.0,203,172,0.2,0.3,0.35,0.5,0.7,0.8,0.95,0.5,0.5,0.75,0.12,0.05
3,-0.7864,0.0421,-0.1708,0.7536,1.3717,0.0,588000.0,125614.0,210,179,0.2,0.25,0.45,0.5,0.65,0.8,0.95,1.0,0.6,0.8,0.08,0.05
3,-0.7866,0.042,-0.1708,0.7564,1.3597,0.0,550500.0,117499.0,207,176,0.2,0.25,0.35,0.5,0.65,0.8,0.95,0.5,0.55,0.7,0.12,0.05
3,-0.7868,0.0441,-0.1709,0.752,1.2524,0.0,577500.0,123134.0,244,213,0.2,0.3,0.4,0.7,0.65,0.8,0.95,0.0,0.5,0.8,0.08,0.05
3,-0.7869,0.0428,-0.171,0.7559,1.3583,0.0,526500.0,112199.0,203,172,0.15,0.3,0.35,0.5,0.7,0.8,0.95,0.0,0.5,0.8,0.08,0.05
5,-0.2372,0.0673,-0.0323,0.4624,1.6206,0.0,509250.0,388472.0,250,239,0.1,0.15,0.3,0.5,0.65,0.85,0.95,0.0,0.5,0.7,0.12,0.04
5,-0.2386,0.0676,-0.0325,0.4624,1.5779,0.0,519750.0,395723.0,264,253,0.1,0.15,0.3,0.6,0.7,0.85,0.95,1.0,0.5,0.75,0.1,0.04
5,-0.2386,0.0676,-0.0325,0.4624,1.5779,0.0,519750.0,395723.0,264,253,0.1,0.15,0.3,0.6,0.7,0.85,0.95,0.0,0.5,0.7,0.08,0.04
5,-0.2388,0.0671,-0.0326,0.4624,1.6352,0.0,534000.0,406468.0,250,239,0.1,0.15,0.35,0.5,0.65,0.85,0.95,0.0,0.5,0.75,0.08,0.04
5,-0.2397,0.0671,-0.0327,0.4624,1.6163,0.0,538500.0,409396.0,256,245,0.1,0.15,0.35,0.55,0.7,0.85,0.95,1.0,0.5,0.75,0.08,0.04
8,0.3793,0.0691,0.0398,0.3248,1.8365,0.1225,726000.0,1001355.0,283,274,0.1,0.3,0.35,0.55,0.75,0.85,0.95,0.0,0.5,0.75,0.12,0.03
8,0.3785,0.069,0.0397,0.3223,1.8892,0.1232,730500.0,1007021.0,270,261,0.1,0.3,0.4,0.5,0.65,0.85,0.95,1.0,0.5,0.8,0.08,0.05
8,0.3775,0.0667,0.0396,0.3377,1.7403,0.1173,599250.0,825470.0,293,284,0.1,0.15,0.3,0.6,0.75,0.85,0.95,0.5,0.5,0.75,0.1,0.03
8,0.3775,0.0667,0.0396,0.3377,1.7403,0.1173,599250.0,825470.0,293,284,0.1,0.15,0.3,0.6,0.65,0.85,0.95,-0.5,0.5,0.7,0.06,0.03
8,0.3772,0.0695,0.0396,0.3199,1.8087,0.1237,747750.0,1029813.0,293,284,0.1,0.3,0.4,0.6,0.75,0.85,0.95,0.5,0.5,0.7,0.08,0.03
10,0.4475,0.0688,0.0507,0.329,1.741,0.1542,615750.0,891269.0,279,279,0.1,0.15,0.3,0.5,0.7,0.85,0.9,1.0,0.5,0.75,0.06,0.05
10,0.4459,0.0707,0.0506,0.3267,1.7748,0.1548,686250.0,992238.0,279,279,0.1,0.25,0.3,0.5,0.65,0.85,0.95,1.0,0.5,0.8,0.06,0.03
10,0.4459,0.0707,0.0506,0.3267,1.7748,0.1548,686250.0,992238.0,279,279,0.1,0.25,0.3,0.5,0.65,0.85,0.9,0.0,0.5,0.7,0.12,0.05
10,0.4447,0.0689,0.0505,0.3219,1.761,0.1568,657000.0,949151.0,279,279,0.1,0.15,0.4,0.5,0.75,0.85,0.95,-0.5,0.5,0.7,0.08,0.03
10,0.4444,0.0692,0.0504,0.3195,1.7676,0.1579,671250.0,969587.0,279,279,0.1,0.15,0.45,0.5,0.65,0.85,0.95,0.0,0.5,0.7,0.12,0.05
