window_years,final_return,xirr,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,0.0712,0.0699,0.0085,0.352,2.4856,0.0242,488250.0,523036.0,148,125,0.15,0.3,0.4,0.7,0.7,0.85,0.95,1.0,0.5,0.7,0.12,0.04
3,0.0712,0.0699,0.0085,0.352,2.4856,0.0242,488250.0,523036.0,148,125,0.15,0.3,0.45,0.7,0.65,0.85,0.95,1.0,0.6,0.7,0.08,0.04
3,0.0711,0.0698,0.0085,0.352,2.4953,0.0242,487500.0,522159.0,147,124,0.15,0.3,0.45,0.65,0.65,0.85,0.95,1.0,0.6,0.8,0.1,0.05
3,0.0711,0.0698,0.0085,0.352,2.4953,0.0242,487500.0,522159.0,147,124,0.15,0.3,0.4,0.6,0.7,0.85,0.95,1.0,0.6,0.7,0.1,0.05
3,0.0708,0.0699,0.0085,0.352,2.4749,0.0241,477750.0,511563.0,148,125,0.15,0.25,0.4,0.7,0.75,0.85,0.95,1.0,0.55,0.7,0.12,0.04
5,-0.2045,0.0764,-0.0278,0.3468,2.2428,0.0,516750.0,411063.0,158,140,0.2,0.3,0.4,0.6,0.65,0.85,0.95,1.0,0.55,0.75,0.08,0.05
5,-0.2045,0.0764,-0.0278,0.3468,2.2428,0.0,516750.0,411063.0,158,140,0.2,0.3,0.4,0.6,0.7,0.85,0.95,1.0,0.55,0.7,0.1,0.05
5,-0.2046,0.0763,-0.0278,0.3468,2.2916,0.0,513750.0,408617.0,152,134,0.2,0.3,0.45,0.5,0.7,0.85,0.95,1.0,0.55,0.7,0.08,0.05
5,-0.2053,0.0761,-0.0279,0.3468,2.239,0.0,513000.0,407680.0,158,140,0.2,0.3,0.35,0.6,0.65,0.85,0.95,1.0,0.65,0.7,0.1,0.05
5,-0.2056,0.0777,-0.028,0.3636,2.1686,0.0,438750.0,348550.0,158,140,0.1,0.25,0.45,0.7,0.75,0.85,0.95,1.0,0.6,0.8,0.1,0.05
8,0.1284,0.0715,0.0152,0.3468,2.2645,0.0437,588750.0,664374.0,190,175,0.2,0.3,0.45,0.65,0.75,0.85,0.95,1.0,0.65,0.7,0.12,0.05
8,0.1279,0.0713,0.0151,0.3468,2.2879,0.0435,582750.0,657291.0,186,171,0.2,0.3,0.4,0.6,0.65,0.85,0.95,1.0,0.55,0.8,0.06,0.05
8,0.1279,0.0713,0.0151,0.3468,2.2879,0.0435,582750.0,657291.0,186,171,0.2,0.3,0.4,0.6,0.65,0.85,0.95,1.0,0.6,0.7,0.1,0.05
8,0.1279,0.0713,0.0151,0.3468,2.2879,0.0435,582750.0,657291.0,186,171,0.2,0.3,0.4,0.6,0.65,0.85,0.95,1.0,0.6,0.75,0.06,0.05
8,0.1277,0.0713,0.0151,0.348,2.3297,0.0433,566250.0,638548.0,178,163,0.2,0.25,0.4,0.55,0.7,0.85,0.95,1.0,0.65,0.75,0.06,0.05
