window_years,final_return,xirr,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,-0.464,0.0676,-0.0717,0.4461,2.1646,0.0,519750.0,278565.0,197,171,0.05,0.15,0.35,0.7,0.65,0.85,0.95,1.0,0.5,0.8,0.1,0.05
3,-0.464,0.0676,-0.0717,0.4461,2.1646,0.0,519750.0,278565.0,197,171,0.05,0.15,0.35,0.6,0.75,0.85,0.95,1.0,0.65,0.7,0.06,0.05
3,-0.4643,0.0674,-0.0717,0.4461,2.16,0.0,514500.0,275623.0,197,171,0.05,0.15,0.3,0.7,0.75,0.85,0.95,1.0,0.5,0.75,0.08,0.05
3,-0.4645,0.0676,-0.0718,0.4474,2.1663,0.0,519000.0,277928.0,196,170,0.05,0.15,0.35,0.55,0.75,0.85,0.95,1.0,0.5,0.75,0.06,0.05
3,-0.4649,0.0667,-0.0719,0.4463,2.2784,0.0,564000.0,301769.0,197,171,0.1,0.15,0.4,0.65,0.75,0.85,0.95,1.0,0.55,0.75,0.06,0.05
5,0.1153,0.0704,0.013,0.4092,2.6457,0.0317,539250.0,601414.0,212,194,0.1,0.15,0.4,0.6,0.65,0.85,0.95,1.0,0.65,0.8,0.12,0.05
5,0.115,0.0704,0.0129,0.4092,2.6681,0.0316,537000.0,598773.0,210,192,0.1,0.15,0.35,0.5,0.7,0.85,0.95,1.0,0.6,0.8,0.08,0.05
5,0.1148,0.0682,0.0129,0.385,2.4959,0.0335,663750.0,739916.0,212,194,0.15,0.25,0.4,0.55,0.75,0.85,0.95,1.0,0.5,0.75,0.12,0.05
5,0.1147,0.0697,0.0129,0.4105,2.6475,0.0314,580500.0,647078.0,212,194,0.1,0.2,0.45,0.7,0.75,0.85,0.95,1.0,0.55,0.8,0.1,0.05
5,0.1147,0.0691,0.0129,0.4073,2.4629,0.0317,621000.0,692246.0,212,194,0.15,0.2,0.35,0.65,0.65,0.85,0.95,1.0,0.65,0.75,0.12,0.05
8,0.1472,0.0683,0.0167,0.385,2.4678,0.0433,699000.0,801859.0,227,216,0.15,0.25,0.45,0.55,0.75,0.85,0.95,1.0,0.6,0.75,0.1,0.05
8,0.1468,0.0701,0.0166,0.4079,2.3973,0.0408,567000.0,650234.0,229,218,0.05,0.2,0.45,0.6,0.7,0.85,0.95,1.0,0.55,0.75,0.08,0.05
8,0.1467,0.0677,0.0166,0.3869,2.4075,0.043,735750.0,843685.0,228,217,0.2,0.25,0.45,0.7,0.75,0.85,0.95,1.0,0.5,0.7,0.12,0.05
8,0.1466,0.0703,0.0166,0.4092,2.5981,0.0406,558750.0,640685.0,229,218,0.1,0.15,0.35,0.65,0.75,0.85,0.95,1.0,0.6,0.75,0.06,0.05
8,0.146,0.0695,0.0166,0.4105,2.5925,0.0403,594750.0,681608.0,229,218,0.1,0.2,0.35,0.6,0.65,0.85,0.95,1.0,0.65,0.8,0.1,0.05
