window,feature,w1,w2,rank,strategy_score,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight,000300_avg_ann,000300_sigma_ann,000300_final_xirr,000905_avg_ann,000905_sigma_ann,000905_final_xirr,000852_avg_ann,000852_sigma_ann,000852_final_xirr,000016_avg_ann,000016_sigma_ann,000016_final_xirr,000688_avg_ann,000688_sigma_ann,000688_final_xirr,399006_avg_ann,399006_sigma_ann,399006_final_xirr,399330_avg_ann,399330_sigma_ann,399330_final_xirr
8,PE_only,1.0,0.0,2,0.022494,0.1,0.15,0.3,0.7,0.75,0.85,0.95,0.0,0.0,0.0,0.08,0.05,0.03034,0.099099,0.0743,0.001523,0.117583,0.0718,-0.009921,0.122349,0.0946,0.032133,0.077495,0.0499,,,,0.022153,0.080504,0.1899,0.058734,0.074893,0.171
8,PE_only,1.0,0.0,3,0.022323,0.05,0.15,0.4,0.7,0.7,0.75,0.95,0.0,0.0,0.0,0.12,0.05,0.030765,0.098406,0.067,0.003531,0.115329,0.0707,-0.01215,0.121174,0.0526,0.028377,0.077419,0.0391,,,,0.022393,0.075467,0.1919,0.06102,0.069706,0.1609
8,PE_only,1.0,0.0,4,0.022259,0.1,0.15,0.4,0.7,0.65,0.8,0.95,0.0,0.0,0.0,0.08,0.03,0.029216,0.096975,0.0736,-0.002116,0.113908,0.0711,-0.013351,0.119798,0.0945,0.039621,0.076591,0.0616,,,,0.021854,0.0798,0.189,0.058332,0.072369,0.1975
8,PE_only,1.0,0.0,5,0.022236,0.15,0.2,0.3,0.7,0.7,0.75,0.95,0.0,0.0,0.0,0.12,0.04,0.032945,0.098261,0.0688,5.1e-05,0.120876,0.0702,-0.010351,0.123766,0.0646,0.031562,0.075883,0.0409,,,,0.019944,0.078251,0.1863,0.059264,0.073719,0.1591
8,PE_PB,1.0,0.0,1,0.016245,0.1,0.15,0.3,0.65,0.75,0.8,0.95,0.0,0.65,0.0,0.08,0.03,0.023789,0.099843,0.0777,-0.007668,0.116765,0.0722,-0.026006,0.132582,0.1073,0.037664,0.082165,0.0692,,,,0.014273,0.082747,0.1924,0.055418,0.076751,0.2012
8,PE_PB,1.0,0.0,2,0.016062,0.05,0.15,0.35,0.65,0.75,0.8,0.95,0.0,0.65,0.0,0.06,0.03,0.023649,0.099925,0.0769,-0.007102,0.114016,0.0736,-0.027236,0.133433,0.1076,0.03321,0.084478,0.0665,,,,0.017053,0.080214,0.1987,0.056798,0.072344,0.2005
8,PE_PB,1.0,0.0,3,0.015841,0.1,0.15,0.4,0.7,0.65,0.75,0.95,0.0,0.65,0.0,0.12,0.05,0.024118,0.098924,0.071,-0.000712,0.119361,0.0722,-0.023718,0.130653,0.068,0.027673,0.079895,0.0443,,,,0.011459,0.07965,0.1887,0.056224,0.07695,0.1649
8,PE_PB,1.0,0.0,4,0.015827,0.15,0.2,0.3,0.7,0.75,0.8,0.95,0.0,0.65,0.0,0.08,0.03,0.025455,0.097539,0.0777,-0.007422,0.117642,0.072,-0.025747,0.132018,0.1078,0.035224,0.079135,0.069,,,,0.013218,0.081649,0.1898,0.054233,0.075942,0.1971
8,PE_PB,1.0,0.0,5,0.015638,0.1,0.2,0.3,0.7,0.65,0.8,0.95,0.0,0.65,0.0,0.1,0.03,0.024119,0.098008,0.0776,-0.007598,0.118263,0.0719,-0.027504,0.133963,0.1072,0.036357,0.080648,0.0695,,,,0.013368,0.081644,0.1905,0.055084,0.075955,0.1985
8,PE_FED,1.0,0.0,1,0.026192,0.1,0.15,0.3,0.7,0.65,0.75,0.95,0.0,0.0,0.0,0.1,0.03,0.027567,0.097747,0.0776,-0.008569,0.117747,0.0683,-0.015844,0.121801,0.0664,0.038779,0.076634,0.0668,,,,0.052973,0.06251,0.2493,0.062245,0.07203,0.1966
