window,feature,strategy_score,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
8,PB_only,-0.018083,0.1,0.15,0.35,0.7,0.65,0.85,0.9,0.0,0.0,0.0,0.06,0.03
8,PB_only,-0.018105,0.05,0.2,0.35,0.7,0.75,0.8,0.85,0.0,0.0,0.0,0.12,0.03
8,PB_only,-0.018117,0.15,0.2,0.3,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.12,0.05
8,PB_only,-0.018156,0.1,0.15,0.4,0.7,0.65,0.75,0.85,0.0,0.0,0.0,0.06,0.04
8,PB_FED,-0.018166,0.1,0.2,0.45,0.7,0.7,0.75,0.9,0.0,0.0,0.0,0.1,0.03
8,PB_only,-0.018181,0.1,0.15,0.3,0.7,0.65,0.85,0.9,0.0,0.0,0.0,0.06,0.04
8,PB_FED,-0.018181,0.1,0.15,0.35,0.65,0.65,0.8,0.85,-0.5,0.0,0.0,0.08,0.03
8,PB_only,-0.01822,0.15,0.25,0.3,0.7,0.65,0.75,0.85,0.0,0.0,0.0,0.12,0.03
8,PB_FED,-0.018225,0.05,0.2,0.3,0.7,0.65,0.8,0.9,0.0,0.0,0.0,0.06,0.04
8,PB_FED,-0.018231,0.15,0.2,0.4,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.06,0.05
8,PB_FED,-0.018253,0.1,0.2,0.4,0.7,0.65,0.8,0.85,0.0,0.0,0.0,0.12,0.04
8,PB_FED,-0.018256,0.15,0.2,0.3,0.7,0.7,0.8,0.95,0.0,0.0,0.0,0.08,0.04
8,PB_FED,-0.018257,0.1,0.25,0.35,0.7,0.75,0.85,0.9,-0.5,0.0,0.0,0.12,0.03
8,PB_only,-0.018341,0.05,0.2,0.3,0.7,0.65,0.85,0.9,0.0,0.0,0.0,0.06,0.03
8,PB_FED,-0.018348,0.05,0.25,0.3,0.7,0.7,0.75,0.9,-0.5,0.0,0.0,0.08,0.05
8,PB_FED,-0.018356,0.1,0.15,0.3,0.65,0.75,0.8,0.9,0.0,0.0,0.0,0.08,0.05
8,PB_only,-0.018359,0.1,0.25,0.3,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.06,0.04
8,PB_FED,-0.018413,0.05,0.2,0.35,0.7,0.65,0.75,0.9,0.0,0.0,0.0,0.1,0.04
8,PB_only,-0.018427,0.05,0.15,0.45,0.7,0.7,0.8,0.85,0.0,0.0,0.0,0.08,0.04
8,PB_only,-0.018463,0.1,0.15,0.4,0.7,0.65,0.85,0.9,0.0,0.0,0.0,0.12,0.03
8,PB_FED,-0.018464,0.1,0.2,0.3,0.65,0.7,0.75,0.9,0.0,0.0,0.0,0.08,0.04
8,PB_only,-0.018492,0.15,0.2,0.35,0.7,0.75,0.85,0.9,0.0,0.0,0.0,0.06,0.03
8,PB_only,-0.018493,0.05,0.2,0.35,0.7,0.7,0.8,0.85,0.0,0.0,0.0,0.1,0.03
8,PB_only,-0.018518,0.15,0.25,0.3,0.7,0.7,0.85,0.9,0.0,0.0,0.0,0.1,0.03
8,PB_only,-0.01853,0.05,0.15,0.35,0.7,0.65,0.75,0.9,0.0,0.0,0.0,0.1,0.05
8,PB_only,-0.018536,0.1,0.15,0.45,0.7,0.75,0.8,0.9,0.0,0.0,0.0,0.12,0.03
8,PB_FED,-0.01854,0.05,0.2,0.45,0.7,0.7,0.75,0.9,-0.5,0.0,0.0,0.08,0.03
8,PB_FED,-0.018556,0.1,0.15,0.3,0.65,0.65,0.8,0.95,-0.5,0.0,0.0,0.1,0.03
8,PB_FED,-0.018563,0.05,0.15,0.3,0.65,0.65,0.8,0.85,0.0,0.0,0.0,0.08,0.05
8,PB_FED,-0.018596,0.05,0.15,0.35,0.7,0.7,0.85,0.95,-0.5,0.0,0.0,0.06,0.04
8,PB_FED,-0.018616,0.1,0.15,0.45,0.7,0.65,0.85,0.9,-0.5,0.0,0.0,0.12,0.05
