window,feature,strategy_score,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
8,PB_FED,0.030227,0.1,0.15,0.35,0.7,0.7,0.75,0.9,-0.5,0.0,0.0,0.12,0.04
8,PB_FED,0.030166,0.1,0.15,0.35,0.7,0.7,0.75,0.85,-0.5,0.0,0.0,0.1,0.03
8,PB_FED,0.030068,0.1,0.15,0.3,0.7,0.75,0.8,0.9,0.0,0.0,0.0,0.08,0.03
8,PB_FED,0.029938,0.15,0.2,0.3,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.1,0.04
8,PB_only,0.029824,0.1,0.15,0.3,0.7,0.7,0.75,0.95,0.0,0.0,0.0,0.12,0.03
8,PB_FED,0.029708,0.1,0.2,0.3,0.7,0.65,0.75,0.9,-0.5,0.0,0.0,0.06,0.04
8,PB_FED,0.029655,0.15,0.2,0.3,0.7,0.65,0.75,0.95,0.0,0.0,0.0,0.08,0.03
8,PB_only,0.029419,0.1,0.15,0.3,0.7,0.65,0.75,0.85,0.0,0.0,0.0,0.06,0.03
8,PB_FED,0.029416,0.1,0.2,0.35,0.7,0.65,0.75,0.9,0.0,0.0,0.0,0.06,0.03
8,PB_FED,0.029334,0.1,0.15,0.35,0.7,0.75,0.8,0.85,0.0,0.0,0.0,0.06,0.04
8,PB_FED,0.029299,0.05,0.15,0.35,0.7,0.7,0.75,0.95,0.0,0.0,0.0,0.1,0.04
8,PB_FED,0.029262,0.1,0.15,0.35,0.7,0.75,0.85,0.9,-0.5,0.0,0.0,0.08,0.03
8,PB_FED,0.029252,0.15,0.2,0.35,0.7,0.65,0.75,0.9,-0.5,0.0,0.0,0.08,0.03
8,PB_FED,0.029226,0.1,0.15,0.45,0.7,0.7,0.75,0.9,-0.5,0.0,0.0,0.06,0.03
8,PB_FED,0.029204,0.05,0.15,0.3,0.7,0.7,0.85,0.9,-0.5,0.0,0.0,0.1,0.03
8,PB_FED,0.029118,0.1,0.15,0.35,0.7,0.7,0.75,0.85,-0.5,0.0,0.0,0.12,0.05
8,PB_only,0.029098,0.1,0.15,0.3,0.7,0.7,0.8,0.9,0.0,0.0,0.0,0.1,0.03
8,PB_FED,0.029097,0.15,0.2,0.3,0.7,0.7,0.85,0.9,-0.5,0.0,0.0,0.06,0.03
8,PB_FED,0.028946,0.1,0.15,0.4,0.7,0.7,0.8,0.95,0.0,0.0,0.0,0.06,0.03
8,PB_only,0.028938,0.05,0.15,0.3,0.7,0.7,0.75,0.9,0.0,0.0,0.0,0.08,0.04
8,PB_FED,0.028862,0.1,0.15,0.35,0.7,0.75,0.85,0.95,0.0,0.0,0.0,0.12,0.03
8,PB_FED,0.0288,0.05,0.2,0.3,0.7,0.65,0.75,0.85,-0.5,0.0,0.0,0.1,0.04
8,PB_FED,0.028794,0.1,0.15,0.3,0.7,0.75,0.85,0.95,-0.5,0.0,0.0,0.06,0.04
8,PB_only,0.028728,0.1,0.15,0.3,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.06,0.05
8,PB_FED,0.028686,0.15,0.2,0.3,0.7,0.65,0.75,0.95,0.0,0.0,0.0,0.12,0.04
8,PB_FED,0.028572,0.05,0.15,0.4,0.7,0.7,0.8,0.85,-0.5,0.0,0.0,0.06,0.04
8,PB_FED,0.028538,0.1,0.2,0.3,0.65,0.7,0.75,0.9,0.0,0.0,0.0,0.08,0.04
8,PB_FED,0.028486,0.15,0.25,0.3,0.7,0.65,0.8,0.85,-0.5,0.0,0.0,0.12,0.04
8,PB_FED,0.028473,0.15,0.25,0.3,0.7,0.75,0.8,0.85,0.0,0.0,0.0,0.08,0.04
8,PB_FED,0.028451,0.1,0.15,0.45,0.7,0.7,0.75,0.9,-0.5,0.0,0.0,0.08,0.05
8,PB_FED,0.028449,0.15,0.2,0.45,0.7,0.7,0.75,0.9,-0.5,0.0,0.0,0.08,0.03
8,PB_only,0.028418,0.1,0.15,0.4,0.7,0.7,0.8,0.85,0.0,0.0,0.0,0.1,0.04
8,PB_FED,0.028401,0.1,0.2,0.45,0.7,0.7,0.75,0.9,0.0,0.0,0.0,0.1,0.03
8,PB_FED,0.028399,0.15,0.2,0.3,0.7,0.7,0.8,0.95,0.0,0.0,0.0,0.08,0.04
8,PB_FED,0.028379,0.15,0.2,0.35,0.7,0.75,0.85,0.9,-0.5,0.0,0.0,0.12,0.03
8,PB_only,0.028375,0.15,0.2,0.3,0.7,0.65,0.75,0.85,0.0,0.0,0.0,0.08,0.04
8,PB_FED,0.028353,0.1,0.15,0.4,0.7,0.7,0.8,0.9,0.0,0.0,0.0,0.08,0.04
8,PB_FED,0.028337,0.1,0.25,0.35,0.7,0.7,0.75,0.95,0.0,0.0,0.0,0.1,0.05
8,PB_FED,0.028312,0.05,0.2,0.35,0.7,0.65,0.75,0.9,0.0,0.0,0.0,0.1,0.04
8,PB_only,0.028301,0.1,0.15,0.3,0.7,0.75,0.85,0.95,0.0,0.0,0.0,0.1,0.03
8,PB_only,0.028282,0.1,0.15,0.35,0.7,0.7,0.85,0.9,0.0,0.0,0.0,0.1,0.03
8,PB_only,0.02826,0.15,0.25,0.3,0.7,0.7,0.75,0.95,0.0,0.0,0.0,0.1,0.03
8,PB_only,0.028239,0.05,0.2,0.3,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.08,0.03
8,PB_only,0.02819,0.1,0.25,0.3,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.08,0.03
8,PB_only,0.028079,0.1,0.25,0.3,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.06,0.04
8,PB_FED,0.028046,0.05,0.2,0.3,0.7,0.75,0.8,0.9,0.0,0.0,0.0,0.1,0.04
8,PB_only,0.028043,0.05,0.15,0.3,0.7,0.7,0.8,0.9,0.0,0.0,0.0,0.12,0.04
8,PB_only,0.028026,0.1,0.15,0.4,0.7,0.65,0.75,0.85,0.0,0.0,0.0,0.06,0.04
8,PB_only,0.028008,0.05,0.15,0.3,0.7,0.65,0.8,0.9,0.0,0.0,0.0,0.12,0.03
8,PB_FED,0.027992,0.15,0.3,0.35,0.7,0.7,0.75,0.95,0.0,0.0,0.0,0.12,0.03
8,PB_only,0.027958,0.1,0.2,0.3,0.7,0.7,0.8,0.85,0.0,0.0,0.0,0.1,0.03
8,PB_only,0.027948,0.05,0.15,0.4,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.06,0.03
8,PB_FED,0.027919,0.05,0.25,0.3,0.7,0.7,0.75,0.95,-0.5,0.0,0.0,0.06,0.05
8,PB_only,0.027889,0.1,0.25,0.3,0.7,0.7,0.75,0.9,0.0,0.0,0.0,0.1,0.04
8,PB_only,0.027873,0.15,0.2,0.3,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.12,0.05
8,PB_FED,0.027819,0.05,0.2,0.3,0.7,0.65,0.8,0.9,0.0,0.0,0.0,0.06,0.04
8,PB_only,0.027814,0.15,0.25,0.3,0.7,0.65,0.75,0.85,0.0,0.0,0.0,0.12,0.03
8,PB_only,0.027807,0.1,0.15,0.4,0.7,0.7,0.85,0.9,0.0,0.0,0.0,0.08,0.03
8,PB_only,0.027807,0.1,0.15,0.4,0.7,0.7,0.85,0.9,0.0,0.0,0.0,0.1,0.03
8,PB_only,0.027803,0.15,0.2,0.3,0.7,0.75,0.8,0.95,0.0,0.0,0.0,0.08,0.03
8,PB_only,0.027786,0.1,0.15,0.35,0.7,0.65,0.85,0.9,0.0,0.0,0.0,0.06,0.03
8,PB_FED,0.027724,0.05,0.2,0.35,0.7,0.65,0.75,0.95,-0.5,0.0,0.0,0.12,0.05
8,PB_only,0.027714,0.15,0.25,0.35,0.7,0.7,0.75,0.9,0.0,0.0,0.0,0.1,0.03
8,PB_FED,0.027712,0.1,0.2,0.4,0.7,0.65,0.8,0.85,0.0,0.0,0.0,0.12,0.04
8,PB_only,0.027684,0.05,0.2,0.3,0.7,0.65,0.75,0.85,0.0,0.0,0.0,0.08,0.04
8,PB_FED,0.027632,0.05,0.25,0.3,0.7,0.7,0.75,0.9,-0.5,0.0,0.0,0.08,0.05
8,PB_FED,0.027582,0.2,0.25,0.3,0.65,0.7,0.75,0.95,0.0,0.0,0.0,0.08,0.03
8,PB_only,0.027581,0.1,0.15,0.3,0.7,0.65,0.85,0.9,0.0,0.0,0.0,0.06,0.04
8,PB_FED,0.027561,0.15,0.2,0.4,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.06,0.05
8,PB_only,0.027519,0.15,0.2,0.35,0.7,0.75,0.85,0.9,0.0,0.0,0.0,0.06,0.03
8,PB_only,0.02751,0.15,0.25,0.35,0.7,0.7,0.8,0.85,0.0,0.0,0.0,0.1,0.04
8,PB_only,0.027498,0.15,0.25,0.3,0.7,0.7,0.85,0.9,0.0,0.0,0.0,0.1,0.03
8,PB_FED,0.027485,0.05,0.25,0.3,0.7,0.7,0.8,0.9,-0.5,0.0,0.0,0.06,0.03
8,PB_FED,0.027458,0.1,0.25,0.35,0.7,0.75,0.85,0.9,-0.5,0.0,0.0,0.12,0.03
8,PB_only,0.027401,0.1,0.2,0.35,0.7,0.75,0.85,0.9,0.0,0.0,0.0,0.08,0.03
