window,feature,strategy_score,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
8,PB_FED,0.007274,0.1,0.15,0.35,0.7,0.7,0.75,0.85,-0.5,0.0,0.0,0.1,0.03
8,PB_FED,0.00706,0.1,0.15,0.3,0.7,0.75,0.8,0.9,0.0,0.0,0.0,0.08,0.03
8,PB_FED,0.006983,0.1,0.15,0.35,0.7,0.7,0.75,0.9,-0.5,0.0,0.0,0.12,0.04
8,PB_FED,0.006727,0.15,0.2,0.3,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.1,0.04
8,PB_FED,0.00652,0.05,0.15,0.3,0.7,0.7,0.85,0.9,-0.5,0.0,0.0,0.1,0.03
8,PB_FED,0.006437,0.1,0.15,0.35,0.7,0.75,0.85,0.9,-0.5,0.0,0.0,0.08,0.03
8,PB_FED,0.006437,0.1,0.2,0.3,0.7,0.65,0.75,0.9,-0.5,0.0,0.0,0.06,0.04
8,PB_only,0.006397,0.1,0.15,0.3,0.7,0.65,0.75,0.85,0.0,0.0,0.0,0.06,0.03
8,PB_FED,0.006344,0.1,0.15,0.35,0.7,0.75,0.8,0.85,0.0,0.0,0.0,0.06,0.04
8,PB_only,0.006327,0.1,0.15,0.3,0.7,0.7,0.75,0.95,0.0,0.0,0.0,0.12,0.03
8,PB_FED,0.006296,0.1,0.15,0.35,0.7,0.7,0.75,0.85,-0.5,0.0,0.0,0.12,0.05
8,PB_FED,0.006205,0.1,0.15,0.45,0.7,0.7,0.75,0.9,-0.5,0.0,0.0,0.06,0.03
8,PB_FED,0.006115,0.15,0.2,0.3,0.7,0.65,0.75,0.95,0.0,0.0,0.0,0.08,0.03
8,PB_only,0.006109,0.1,0.15,0.3,0.7,0.7,0.8,0.9,0.0,0.0,0.0,0.1,0.03
8,PB_FED,0.006105,0.15,0.2,0.3,0.7,0.7,0.85,0.9,-0.5,0.0,0.0,0.06,0.03
8,PB_FED,0.006029,0.1,0.2,0.35,0.7,0.65,0.75,0.9,0.0,0.0,0.0,0.06,0.03
8,PB_only,0.005998,0.05,0.15,0.3,0.7,0.7,0.75,0.9,0.0,0.0,0.0,0.08,0.04
8,PB_FED,0.005984,0.15,0.2,0.35,0.7,0.65,0.75,0.9,-0.5,0.0,0.0,0.08,0.03
8,PB_FED,0.005863,0.05,0.2,0.3,0.7,0.65,0.75,0.85,-0.5,0.0,0.0,0.1,0.04
8,PB_FED,0.005787,0.1,0.15,0.3,0.7,0.75,0.85,0.95,-0.5,0.0,0.0,0.06,0.04
8,PB_FED,0.005755,0.05,0.15,0.4,0.7,0.7,0.8,0.85,-0.5,0.0,0.0,0.06,0.04
8,PB_only,0.005738,0.1,0.15,0.3,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.06,0.05
8,PB_FED,0.005729,0.05,0.15,0.35,0.7,0.7,0.75,0.95,0.0,0.0,0.0,0.1,0.04
8,PB_FED,0.005558,0.1,0.15,0.4,0.7,0.7,0.8,0.95,0.0,0.0,0.0,0.06,0.03
8,PB_FED,0.005502,0.1,0.15,0.35,0.7,0.75,0.85,0.95,0.0,0.0,0.0,0.12,0.03
8,PB_only,0.00548,0.05,0.2,0.3,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.08,0.03
8,PB_FED,0.005455,0.1,0.15,0.45,0.7,0.7,0.75,0.9,-0.5,0.0,0.0,0.08,0.05
8,PB_FED,0.005426,0.15,0.25,0.3,0.7,0.65,0.8,0.85,-0.5,0.0,0.0,0.12,0.04
8,PB_FED,0.00542,0.15,0.25,0.3,0.7,0.75,0.8,0.85,0.0,0.0,0.0,0.08,0.04
8,PB_only,0.005402,0.05,0.15,0.3,0.7,0.65,0.8,0.9,0.0,0.0,0.0,0.12,0.03
8,PB_FED,0.005389,0.15,0.2,0.35,0.7,0.75,0.85,0.9,-0.5,0.0,0.0,0.12,0.03
8,PB_only,0.005318,0.05,0.15,0.3,0.7,0.7,0.8,0.9,0.0,0.0,0.0,0.12,0.04
8,PB_FED,0.005314,0.15,0.2,0.3,0.7,0.65,0.75,0.95,0.0,0.0,0.0,0.12,0.04
8,PB_FED,0.005313,0.1,0.15,0.4,0.7,0.7,0.8,0.9,0.0,0.0,0.0,0.08,0.04
8,PB_only,0.005295,0.1,0.15,0.4,0.7,0.7,0.8,0.85,0.0,0.0,0.0,0.1,0.04
8,PB_only,0.005293,0.1,0.15,0.35,0.7,0.7,0.85,0.9,0.0,0.0,0.0,0.1,0.03
8,PB_FED,0.005273,0.15,0.2,0.45,0.7,0.7,0.75,0.9,-0.5,0.0,0.0,0.08,0.03
8,PB_only,0.005241,0.15,0.2,0.3,0.7,0.65,0.75,0.85,0.0,0.0,0.0,0.08,0.04
8,PB_only,0.005234,0.05,0.15,0.4,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.06,0.03
8,PB_FED,0.005117,0.1,0.2,0.45,0.7,0.7,0.75,0.9,0.0,0.0,0.0,0.1,0.03
