window,feature,w1,w2,rank,strategy_score,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight,000300_avg_ann,000300_sigma_ann,000300_final_xirr,000905_avg_ann,000905_sigma_ann,000905_final_xirr,000852_avg_ann,000852_sigma_ann,000852_final_xirr,000016_avg_ann,000016_sigma_ann,000016_final_xirr,000688_avg_ann,000688_sigma_ann,000688_final_xirr,399006_avg_ann,399006_sigma_ann,399006_final_xirr,399330_avg_ann,399330_sigma_ann,399330_final_xirr
6,PE_only,0.6,0.4,1,-0.029725,0.1,0.15,0.3,0.7,0.75,0.85,0.95,0.0,0.0,0.0,0.08,0.03,0.030286,0.098165,0.0816,-0.003387,0.114207,0.0743,-0.011501,0.119942,0.0977,0.040668,0.076196,0.0635,-0.014775,0.140832,0.0275,0.017868,0.077139,0.1856,0.058638,0.0704,0.1756
6,PE_only,0.6,0.4,2,-0.029832,0.05,0.15,0.3,0.7,0.7,0.85,0.95,0.0,0.0,0.0,0.1,0.04,0.030234,0.099474,0.0732,0.001925,0.115345,0.0722,-0.009715,0.122896,0.0968,0.029074,0.078969,0.0389,-0.014962,0.141256,0.0541,0.025274,0.078614,0.1964,0.06002,0.068275,0.15
6,PE_only,0.6,0.4,3,-0.03008,0.05,0.15,0.4,0.7,0.75,0.85,0.95,0.0,0.0,0.0,0.1,0.04,0.029438,0.099339,0.0727,0.001659,0.115236,0.0732,-0.010821,0.122578,0.0968,0.028047,0.07853,0.0385,-0.014615,0.141214,0.0589,0.02484,0.078353,0.1959,0.059475,0.068189,0.1492
6,PE_only,0.6,0.4,4,-0.030127,0.05,0.15,0.4,0.7,0.75,0.85,0.95,0.0,0.0,0.0,0.12,0.05,0.029438,0.099339,0.0727,0.001769,0.115032,0.0704,-0.011617,0.122141,0.0963,0.028047,0.07853,0.0385,-0.01467,0.141202,0.0572,0.024329,0.077947,0.1947,0.059475,0.068189,0.1492
6,PE_only,0.6,0.4,5,-0.030343,0.1,0.15,0.4,0.7,0.7,0.8,0.95,0.0,0.0,0.0,0.06,0.03,0.03018,0.097221,0.0818,-0.001438,0.113694,0.0742,-0.01231,0.118654,0.0975,0.039489,0.075384,0.0636,-0.006029,0.172748,0.0313,0.022399,0.079927,0.188,0.058787,0.069985,0.1772
6,PE_PB,0.6,0.4,1,-0.033319,0.1,0.15,0.3,0.7,0.7,0.75,0.95,0.0,0.55,0.0,0.08,0.03,0.020655,0.099237,0.0809,-0.010125,0.116356,0.0769,-0.026444,0.132549,0.0881,0.033663,0.080508,0.0734,-0.042286,0.060871,0.0312,0.010059,0.08048,0.1823,0.05556,0.074703,0.1863
6,PE_PB,0.6,0.4,2,-0.033695,0.05,0.15,0.3,0.7,0.75,0.85,0.95,0.0,0.65,0.0,0.12,0.03,0.023663,0.099039,0.0852,-0.005922,0.112581,0.0774,-0.024921,0.130539,0.1109,0.033276,0.082503,0.0689,-0.019041,0.141337,0.0287,0.016286,0.075176,0.1944,0.05686,0.068785,0.1788
6,PE_PB,0.6,0.4,3,-0.03412,0.05,0.15,0.3,0.7,0.65,0.8,0.95,0.0,0.55,0.0,0.08,0.05,0.01877,0.099577,0.08,-0.005256,0.116351,0.0738,-0.027432,0.134432,0.1141,0.022397,0.087039,0.0456,-0.043776,0.061735,0.0557,0.014546,0.07935,0.1891,0.056927,0.072882,0.1784
6,PE_PB,0.6,0.4,4,-0.03429,0.05,0.15,0.35,0.7,0.7,0.85,0.9,0.0,0.6,0.0,0.08,0.04,0.019712,0.098971,0.0857,-0.010599,0.112741,0.0765,-0.032993,0.131565,0.1088,0.025815,0.083487,0.0584,-0.044781,0.056659,0.0245,0.002897,0.067517,0.1904,0.051427,0.066357,0.1998
6,PE_PB,0.6,0.4,5,-0.034361,0.05,0.15,0.45,0.7,0.7,0.75,0.95,0.0,0.55,0.0,0.08,0.04,0.018099,0.09899,0.0712,-0.005568,0.116777,0.0765,-0.028569,0.138616,0.0759,0.020755,0.082414,0.0443,-0.043586,0.059824,0.0635,0.012518,0.077618,0.1881,0.056123,0.071746,0.1611
6,PE_FED,0.6,0.4,1,-0.031214,0.05,0.2,0.3,0.7,0.7,0.85,0.95,-0.5,0.0,0.0,0.12,0.04,0.030116,0.0996,0.0736,-0.001514,0.118937,0.0716,-0.012256,0.127045,0.0958,0.028702,0.078955,0.0389,-0.040045,0.142554,0.057,0.042311,0.074526,0.2243,0.060133,0.065797,0.1546
6,PE_FED,0.6,0.4,2,-0.031262,0.1,0.2,0.45,0.7,0.75,0.8,0.95,-0.5,0.0,0.0,0.12,0.05,0.02956,0.098134,0.0747,0.000423,0.120336,0.0682,-0.01475,0.127026,0.0949,0.03032,0.075597,0.0409,-0.039565,0.140097,0.0611,0.037836,0.075707,0.211,0.059766,0.065579,0.1566
6,PE_FED,0.6,0.4,3,-0.031268,0.1,0.15,0.3,0.65,0.7,0.75,0.95,-0.5,0.0,0.0,0.12,0.05,0.028312,0.10041,0.0694,0.000354,0.120112,0.0667,-0.011344,0.122035,0.0565,0.033957,0.079341,0.0411,-0.044082,0.140046,0.056,0.035362,0.07471,0.2126,0.061995,0.067358,0.1869
6,PE_FED,0.6,0.4,4,-0.031327,0.15,0.2,0.35,0.65,0.65,0.75,0.95,-0.5,0.0,0.0,0.06,0.03,0.029258,0.098997,0.0763,-0.008149,0.11941,0.0711,-0.014577,0.123013,0.0669,0.039977,0.0789,0.0642,-0.042299,0.133839,0.0295,0.035274,0.07489,0.2146,0.058388,0.065973,0.2099
6,PE_FED,0.6,0.4,5,-0.031396,0.05,0.15,0.3,0.65,0.65,0.8,0.95,-0.5,0.0,0.0,0.08,0.05,0.027285,0.100407,0.0758,0.001181,0.116907,0.0687,-0.012014,0.12309,0.0963,0.030532,0.08292,0.0391,-0.046015,0.140442,0.0539,0.041103,0.073682,0.2221,0.061682,0.067607,0.1833
6,PE_PB_FED,0.6,0.4,1,-0.033388,0.05,0.2,0.4,0.7,0.7,0.8,0.95,-0.5,0.65,0.8,0.1,0.03,0.02327,0.098083,0.0851,-0.006774,0.116073,0.0772,-0.027397,0.133494,0.1101,0.031779,0.081483,0.0691,-0.056687,0.104062,0.0348,0.037582,0.07382,0.2254,0.058192,0.067228,0.1852
6,PE_PB_FED,0.6,0.4,2,-0.034071,0.15,0.2,0.3,0.7,0.7,0.75,0.95,0.0,0.65,0.75,0.1,0.05,0.025071,0.098609,0.0715,-0.010337,0.124488,0.0685,-0.027107,0.13335,0.0686,0.026881,0.079239,0.0441,-0.056302,0.126388,0.0571,0.048506,0.061473,0.2522,0.059783,0.07244,0.1664
