window_years,final_return,xirr,cagr,max_drawdown,sharpe,calmar,total_invested,final_value,trades,buys,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
3,0.0697,3.0,0.0083,0.3512,2.4549,0.0238,447000.0,478155.0,147,124,0.1,0.25,0.45,0.65,0.7,0.85,0.95,1.0,0.55,0.8,0.1,0.05
3,0.0695,3.0,0.0083,0.3634,2.4079,0.0229,408000.0,436340.0,147,124,0.1,0.15,0.4,0.6,0.65,0.85,0.95,1.0,0.65,0.8,0.08,0.05
3,0.0667,3.0,0.008,0.3639,2.4363,0.022,433500.0,462403.0,147,124,0.1,0.2,0.45,0.5,0.7,0.85,0.95,1.0,0.6,0.8,0.12,0.05
3,0.036,3.0,0.0044,0.3586,2.0313,0.0122,498000.0,515914.0,220,197,0.05,0.2,0.35,0.55,0.7,0.85,0.95,0.5,0.65,0.75,0.08,0.05
3,0.0313,3.0,0.0038,0.3495,2.0892,0.0109,598500.0,617250.0,222,199,0.1,0.3,0.35,0.6,0.75,0.85,0.95,0.5,0.65,0.75,0.08,0.05
5,-0.2081,3.0,-0.0284,0.3656,2.141,0.0,414750.0,328459.0,158,140,0.1,0.2,0.4,0.7,0.7,0.85,0.95,1.0,0.65,0.75,0.06,0.05
5,-0.2322,3.0,-0.032,0.3622,1.8826,0.0,487500.0,374289.0,217,199,0.1,0.2,0.35,0.5,0.65,0.85,0.95,0.5,0.55,0.8,0.08,0.05
5,-0.2323,3.0,-0.032,0.3497,1.8942,0.0,618750.0,475009.0,234,216,0.2,0.25,0.45,0.6,0.75,0.85,0.95,0.5,0.6,0.8,0.08,0.05
5,-0.2343,3.0,-0.0323,0.3524,1.8729,0.0,585750.0,448508.0,234,216,0.15,0.25,0.45,0.6,0.65,0.85,0.95,0.5,0.65,0.75,0.1,0.05
5,-0.2374,3.0,-0.0329,0.3698,2.2291,0.0,480750.0,366608.0,155,134,0.2,0.25,0.3,0.5,0.7,0.8,0.95,1.0,0.55,0.8,0.08,0.05
8,0.0798,3.0,0.0096,0.3485,2.0997,0.0275,565500.0,610621.0,221,206,0.05,0.25,0.4,0.5,0.75,0.85,0.95,0.5,0.65,0.75,0.06,0.05
8,0.0742,3.0,0.0088,0.3595,1.1765,0.0244,549750.0,590546.0,245,230,0.1,0.15,0.45,0.55,0.7,0.85,0.95,0.0,0.5,0.7,0.06,0.05
8,0.0712,3.0,0.0084,0.3576,1.6258,0.0235,590250.0,632267.0,261,246,0.05,0.25,0.3,0.65,0.65,0.85,0.95,-0.5,0.5,0.75,0.06,0.05
8,0.0709,3.0,0.0084,0.3507,1.4303,0.0239,699000.0,748576.0,277,262,0.15,0.25,0.4,0.7,0.7,0.85,0.95,0.0,0.6,0.7,0.1,0.05
8,0.0699,3.0,0.0083,0.3496,1.5451,0.0236,553500.0,592214.0,286,271,0.1,0.15,0.3,0.7,0.65,0.85,0.95,0.0,0.65,0.8,0.12,0.05
